Class,Identifiers,Address,Type,Initial Value,Comment
VAR,shelf_no,D20000,WORD,10,total number of shelf
VAR,s0_exePVPos,D10009,WORD,0
VAR,s0_exeLightIntensity,D10010,WORD,0
VAR,s0_exeLightOn,D10011,WORD,0
VAR,s1_mode,D10012,WORD,2,"shelf_x mode auto-1, semi-2, manual-3"
VAR,s1_autoWaterOn,D10013.0,BOOL,FALSE
VAR,s1_autoLightOn,D10014.0,BOOL,FALSE
VAR,s1_autoLightIntensity,D10015,WORD,0
VAR,s1_semiPVOn,D10016.0,BOOL,0
VAR,s1_semiLightOn,D10017.0,BOOL,0
VAR,s1_manuLightOn,D10018.0,BOOL,0
VAR,s1_manuLightIntensity,D10019,WORD,0
VAR,s1_manuPVPos,D10020,WORD,0
VAR,s1_exePVPos,D10021,WORD,0
VAR,s1_exeLightIntensity,D10022,WORD,0
VAR,s1_exeLightOn,D10023,WORD,0
VAR,s2_mode,D10024,WORD,2,"shelf_x mode auto-1, semi-2, manual-3"
VAR,s2_autoWaterOn,D10025.0,BOOL,FALSE
VAR,s2_autoLightOn,D10026.0,BOOL,FALSE
VAR,s2_autoLightIntensity,D10027,WORD,0
VAR,s2_semiPVOn,D10028.0,BOOL,0
VAR,s2_semiLightOn,D10029.0,BOOL,0
VAR,s2_manuLightOn,D10030.0,BOOL,0
VAR,s2_manuLightIntensity,D10031,WORD,0
VAR,s2_manuPVPos,D10032,WORD,0
VAR,s2_exePVPos,D10033,WORD,0
VAR,s2_exeLightIntensity,D10034,WORD,0
VAR,s2_exeLightOn,D10035,WORD,0
VAR,s3_mode,D10036,WORD,2,"shelf_x mode auto-1, semi-2, manual-3"
VAR,s3_autoWaterOn,D10037.0,BOOL,FALSE
VAR,s3_autoLightOn,D10038.0,BOOL,FALSE
VAR,s3_autoLightIntensity,D10039,WORD,0
VAR,s3_semiPVOn,D10040.0,BOOL,0
VAR,s3_semiLightOn,D10041.0,BOOL,0
VAR,s3_manuLightOn,D10042.0,BOOL,0
VAR,s3_manuLightIntensity,D10043,WORD,0
VAR,s3_manuPVPos,D10044,WORD,0
VAR,s3_exePVPos,D10045,WORD,0
VAR,s3_exeLightIntensity,D10046,WORD,0
